,site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
1652,ISL,London Islington,Urban Background,51.531362,-0.096954,O3,Ozone,1976-07-09,1978-08-01,1978-08-01,Greater London,Greater London Urban Area,Islington
1656,LW1,London Lewisham,Urban Background,51.44541,-0.020139,O3,Ozone,1997-04-16,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Lewisham
1661,MY1,London Marylebone Road,Urban Traffic,51.52253,-0.154611,O3,Ozone,1997-07-17,ongoing,2023-12-31,Greater London,Greater London Urban Area,Westminster
1709,KC1,London N. Kensington,Urban Background,51.52105,-0.213492,O3,Ozone,1996-04-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Kensington and Chelsea
1726,SK1,London Southwark,Urban Background,51.49055,-0.096667,O3,Ozone,1997-02-28,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Southwark
1732,SUT3,London Sutton,Suburban Background,51.36789,-0.165489,O3,Ozone,1996-04-01,2002-05-02,2002-05-02,Greater London,Greater London Urban Area,Sutton
1736,TED,London Teddington,Urban Background,51.42099,-0.339647,O3,Ozone,1996-08-08,2016-09-21,2016-09-21,Greater London,Greater London Urban Area,Richmond
1747,TED2,London Teddington Bushy Park,Urban Background,51.425286,-0.345606,PM10,PM10 particulate matter (Hourly measured),2020-01-01,ongoing,2024-03-31,Greater London,Greater London Urban Area,Richmond
1754,LON5,London UCL,Urban Background,51.52378,-0.128958,ETHANE,ethane,1993-02-08,2000-12-31,2000-12-31,Greater London,Greater London Urban Area,Camden
1778,WA2,London Wandsworth,Urban Background,51.45696,-0.191164,O3,Ozone,1996-04-01,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Wandsworth
1782,HORS,London Westminster,Urban Background,51.49467,-0.131931,O3,Ozone,2001-07-17,ongoing,2023-12-31,Greater London,Greater London Urban Area,Westminster
1794,LN,Lough Navar,Rural Background,54.43951,-7.900328,O3,Ozone,1987-04-02,ongoing,2023-12-31,Northern Ireland,,Fermanagh and Omagh
1802,LH,Lullington Heath,Rural Background,50.7937,0.18125,O3,Ozone,1986-10-04,ongoing,2023-12-31,South East,,Wealden
1812,LUTR,Luton A505 Roadside,Urban Traffic,51.892293,-0.46211,NO,Nitric oxide,2015-03-11,ongoing,2023-12-31,Eastern,,Luton
1818,MH,Mace Head,Rural Background,53.326444,-9.903917,O3,Ozone,1987-04-03,ongoing,2023-12-31,West Ireland,,
1829,MAN3,Manchester Piccadilly,Urban Background,53.48152,-2.237881,O3,Ozone,1995-12-18,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Manchester
1844,MAHG,Manchester Sharston,Suburban Industrial,53.371722,-2.238917,O3,Ozone,2016-01-27,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Manchester
1851,MAN4,Manchester South,Suburban Industrial,53.369026,-2.24328,O3,Ozone,1996-12-06,2016-01-25,2016-01-25,North West & Merseyside,Greater Manchester Urban Area,Manchester
1859,MAN,Manchester Town Hall,Urban Background,53.4785,-2.2448,NO,Nitric oxide,1987-01-22,2007-09-30,2007-09-30,North West & Merseyside,Greater Manchester Urban Area,Manchester
1863,MKTH,Market Harborough,Rural Background,52.554444,-0.772222,O3,Ozone,2003-12-10,2019-03-27,2019-03-27,East Midlands,,Harborough
1871,MID,Middlesbrough,Urban Background,54.569297,-1.220874,O3,Ozone,1995-04-21,ongoing,2023-12-31,North East,Teesside Urban Area,Middlesbrough
1910,MKCC,Milton Keynes Civic Centre,Urban Background,52.044076,-0.761013,O3,Ozone,2023-08-24,ongoing,2023-12-31,South East,,Milton Keynes
1916,MOLD,Mold,Suburban Background,53.162306,-3.144889,O3,Ozone,2009-12-02,2013-12-31,2013-12-31,North Wales,,Flintshire
1923,PEMB,Narberth,Rural Background,51.782616,-4.69237,O3,Ozone,1997-01-20,ongoing,2023-12-31,South Wales,,Pembrokeshire
1935,NEWC,Newcastle Centre,Urban Background,54.97825,-1.610528,O3,Ozone,1992-03-08,ongoing,2023-12-31,North East,Tyneside,Newcastle upon Tyne
1950,NCA3,Newcastle Cradlewell Roadside,Urban Traffic,54.986405,-1.595362,NO,Nitric oxide,2008-03-10,ongoing,2023-12-31,North East,Tyneside,Newcastle upon Tyne
1957,NPT3,Newport,Urban Background,51.601203,-2.977281,NO,Nitric oxide,2008-01-01,ongoing,2023-12-31,South Wales,,Newport
1969,NTON,Northampton,Urban Background,52.27349,-0.885933,O3,Ozone,2003-03-13,2012-07-09,2012-07-09,East Midlands,,Northampton
1980,NTN3,Northampton Kingsthorpe,Urban Background,52.271886,-0.879898,O3,Ozone,2012-07-09,2017-03-27,2017-03-27,East Midlands,,Northampton
1989,NTO2,Northampton PM10,Urban Background,52.27349,-0.885933,GR10,PM10 particulate matter (Daily measured),2001-04-05,2007-09-30,2007-09-30,East Midlands,,Northampton
1990,NTN4,Northampton Spring Park,Urban Background,52.272257,-0.916605,O3,Ozone,2017-04-01,ongoing,2023-12-31,East Midlands,,Northampton
1998,NOR2,Norwich Centre,Urban Background,52.63203,1.295019,O3,Ozone,1997-07-24,2008-05-13,2008-05-13,Eastern,,Norwich
2005,NO10,Norwich Forum Roadside,Urban Traffic,52.62817,1.291714,NO,Nitric oxide,2005-04-08,2007-09-30,2007-09-30,Eastern,,Norwich
2008,NO12,Norwich Lakenfields,Urban Background,52.614823,1.302686,O3,Ozone,2009-09-01,ongoing,2023-12-31,Eastern,,Norwich
2022,NOR1,Norwich Roadside,Urban Traffic,52.622,1.299064,NO,Nitric oxide,1997-06-21,2005-02-14,2005-02-14,Eastern,,Norwich
2025,NOTT,Nottingham Centre,Urban Background,52.95473,-1.146447,O3,Ozone,1996-09-02,2024-01-30,2023-12-31,East Midlands,Nottingham Urban Area,Nottingham
2040,NOTK,Nottingham Kenmore Gardens,Urban Background,52.959441,-1.13865,O3,Ozone,2024-02-01,ongoing,Never,East Midlands,Nottingham Urban Area,Nottingham
2050,NWBV,Nottingham Western Boulevard,Urban Traffic,52.969377,-1.188851,NO,Nitric oxide,2016-03-01,ongoing,2023-12-31,East Midlands,Nottingham Urban Area,Nottingham
2059,BOLD,Oldbury Birmingham Road,Urban Traffic,52.502436,-2.003497,NO,Nitric oxide,2014-09-01,ongoing,2023-12-31,West Midlands,West Midlands Urban Area,Sandwell
2065,OX,Oxford Centre Roadside,Urban Traffic,51.751745,-1.257463,NO,Nitric oxide,1996-04-15,ongoing,2023-12-31,South East,,Oxford
2073,OX8,Oxford St Ebbes,Urban Background,51.744806,-1.260278,O3,Ozone,2023-04-01,ongoing,2023-12-31,South East,,Oxford
2086,PEEB,Peebles,Urban Background,55.657472,-3.196527,O3,Ozone,2009-11-06,ongoing,2023-12-31,Scottish Borders,,Scottish Borders
2093,PLYM,Plymouth Centre,Urban Background,50.37167,-4.142361,O3,Ozone,1997-09-29,ongoing,2023-12-31,South West,,Plymouth
2108,PLYR,Plymouth Tavistock Road,Urban Traffic,50.411058,-4.130288,NO,Nitric oxide,2017-01-01,ongoing,2023-12-31,South West,,Plymouth
2114,PT,Port Talbot,Urban Industrial,51.5798,-3.76169,O3,Ozone,1997-01-09,2007-07-24,2007-07-23,South Wales,Swansea Urban Area,Neath Port Talbot
2122,PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,O3,Ozone,2007-07-24,ongoing,2023-12-31,South Wales,Swansea Urban Area,Neath Port Talbot
2139,PMTH,Portsmouth,Urban Background,50.82881,-1.068583,O3,Ozone,2003-04-15,ongoing,2023-12-31,South East,Portsmouth Urban Area,Portsmouth
2154,POAR,Portsmouth Anglesea Road,Urban Traffic,50.798339,-1.095558,NO,Nitric oxide,2018-01-01,ongoing,2023-12-31,South East,Portsmouth Urban Area,Portsmouth
2161,PRES,Preston,Urban Background,53.76559,-2.680353,O3,Ozone,2000-06-06,ongoing,2023-12-31,North West & Merseyside,Preston Urban Area,Preston
2176,READ,Reading,Urban Background,51.45352,-0.95518,O3,Ozone,1997-07-17,2003-02-06,2003-02-06,South East,Reading/Wokingham Urban Area,Reading
2183,REA5,Reading London Road,Urban Traffic,51.454896,-0.940382,NO,Nitric oxide,2016-03-04,ongoing,2023-12-31,South East,Reading/Wokingham Urban Area,Reading
2190,REA1,Reading New Town,Urban Background,51.45309,-0.944067,O3,Ozone,2003-10-17,ongoing,2023-12-31,South East,Reading/Wokingham Urban Area,Reading
2205,REDC,Redcar,Suburban Background,54.610735,-1.0733,O3,Ozone,1997-06-25,2007-09-30,2007-09-30,North East,Teesside Urban Area,Redcar and Cleveland
2212,ROCH,Rochester Stoke,Rural Background,51.45617,0.634889,O3,Ozone,1996-01-26,ongoing,2023-12-31,South East,,Medway
2226,ROTH,Rotherham Centre,Urban Background,53.43186,-1.354444,O3,Ozone,1997-06-20,2007-09-30,2007-09-30,Yorkshire & Humberside,Sheffield Urban Area,Rotherham
2231,RUGE,Rugeley,Urban Background,52.753297,-1.93773,SO2,Sulphur dioxide,1991-03-21,1992-09-17,1992-09-17,West Midlands,,Cannock Chase
2232,ECCL,Salford Eccles,Urban Background,53.48481,-2.334139,O3,Ozone,1997-03-20,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Salford
2247,SASH,Saltash Callington Road,Urban Traffic,50.411463,-4.227678,PM10,PM10 particulate matter (Hourly measured),2013-01-01,ongoing,2023-12-31,South West,,Cornwall
2256,SALT,Saltash Roadside,Urban Traffic,50.4131,-4.2303,PM10,PM10 particulate matter (Hourly measured),2008-07-30,2010-08-31,2010-08-31,South West,,Cornwall
2265,OLDB,Sandwell Oldbury,Urban Background,52.50431,-2.017629,O3,Ozone,1997-06-27,1998-09-21,1998-09-21,West Midlands,West Midlands Urban Area,Sandwell
2271,WBRO,Sandwell West Bromwich,Urban Background,52.52062,-1.995556,O3,Ozone,1998-11-04,2011-12-31,2011-12-31,West Midlands,West Midlands Urban Area,Sandwell
2280,SDY,Sandy Roadside,Urban Traffic,52.132417,-0.300306,NO,Nitric oxide,2008-07-28,ongoing,2023-12-31,Eastern,,Central Bedfordshire
2292,SCUN,Scunthorpe,Urban Industrial,53.58499,-0.633015,SO2,Sulphur dioxide,1997-12-15,2004-03-18,2004-03-18,Yorkshire & Humberside,,North Lincolnshire
2294,SCN2,Scunthorpe Town,Urban Industrial,53.58634,-0.636811,NO,Nitric oxide,2008-01-10,ongoing,2023-12-31,Yorkshire & Humberside,,North Lincolnshire
2304,CW,Shaw Crompton Way,Urban Traffic,53.579227,-2.093844,NO,Nitric oxide,2014-04-01,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Oldham
2310,SHBR,Sheffield Barnsley Road,Urban Traffic,53.40495,-1.455815,NO,Nitric oxide,2016-08-01,ongoing,2023-12-31,Yorkshire & Humberside,Sheffield Urban Area,Sheffield
2317,SHE2,Sheffield Centre,Urban Background,53.37772,-1.473306,O3,Ozone,1995-12-22,2013-08-30,2013-08-30,Yorkshire & Humberside,Sheffield Urban Area,Sheffield
2332,SHDG,Sheffield Devonshire Green,Urban Background,53.378622,-1.478096,O3,Ozone,2013-10-31,ongoing,2023-12-31,Yorkshire & Humberside,Sheffield Urban Area,Sheffield
2345,SHE,Sheffield Tinsley,Urban Background,53.41058,-1.396139,O3,Ozone,2023-02-20,ongoing,2023-12-31,Yorkshire & Humberside,Sheffield Urban Area,Sheffield
2355,SIB,Sibton,Rural Background,52.2944,1.463497,O3,Ozone,1973-07-01,ongoing,2023-12-31,Eastern,,
2365,SOM,Somerton,Rural Background,51.03572,-2.735253,O3,Ozone,1996-01-26,2008-03-05,2008-03-05,South West,,South Somerset
2369,SA33,Southampton A33,Urban Traffic,50.920265,-1.463484,NO,Nitric oxide,2016-01-01,ongoing,2023-12-31,South East,Southampton Urban Area,Southampton
2378,SOUT,Southampton Centre,Urban Background,50.908173,-1.395757,O3,Ozone,1994-01-04,ongoing,2023-12-31,South East,Southampton Urban Area,Southampton
2417,SEND,Southend-on-Sea,Urban Background,51.544166,0.678331,O3,Ozone,2000-07-24,ongoing,2023-12-31,Eastern,Southend Urban Area,Southend-on-Sea
2432,SK5,Southwark A2 Old Kent Road,Urban Traffic,51.480499,-0.05955,NO,Nitric oxide,2011-01-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Southwark
2441,SK2,Southwark Roadside,Urban Traffic,51.48199,-0.0623,NO,Nitric oxide,1997-04-01,2006-02-21,2006-02-21,Greater London,Greater London Urban Area,Southwark
2446,SHLW,St Helens Linkway,Urban Traffic,53.451826,-2.742134,NO,Nitric oxide,2016-09-27,ongoing,2023-12-31,North West & Merseyside,Liverpool Urban Area,St. Helens
2455,OSY,St Osyth,Rural Background,51.777874,1.04901,O3,Ozone,2002-05-11,ongoing,2023-12-31,Eastern,,Tendring
2465,HOPE,Stanford-le-Hope Roadside,Urban Traffic,51.518167,0.439548,NO,Nitric oxide,2008-01-22,ongoing,2023-12-31,Eastern,,Thurrock
2478,STE,Stevenage,Suburban Background,51.886944,-0.200833,O3,Ozone,1976-06-22,1994-04-29,1994-04-29,Eastern,,Stevenage
2484,STEW,Stewartby,Urban Industrial,52.071944,-0.511111,SO2,Sulphur dioxide,2007-11-26,2008-12-31,2008-12-31,Eastern,,Bedford
2485,STOC,Stockport,Urban Background,53.40994,-2.1582,NO,Nitric oxide,1996-11-25,2002-10-03,2002-10-03,North West & Merseyside,Greater Manchester Urban Area,Stockport
2491,STK4,Stockport Shaw Heath,Urban Background,53.40306,-2.161111,NO,Nitric oxide,2002-10-09,2007-09-30,2007-09-30,North West & Merseyside,Greater Manchester Urban Area,Stockport
2497,SOTR,Stockton-on-Tees A1305 Roadside,Urban Traffic,54.565819,-1.3159,NO,Nitric oxide,2015-05-01,ongoing,2023-12-31,North East,Teesside Urban Area,Stockton-on-Tees
2506,EAGL,Stockton-on-Tees Eaglescliffe,Urban Traffic,54.516667,-1.358547,NO,Nitric oxide,2009-01-21,ongoing,2023-12-31,North East,,Stockton-on-Tees
2514,YARM,Stockton-on-Tees Yarm,Urban Traffic,54.50918,-1.354319,NO,Nitric oxide,2001-01-01,2008-09-02,2008-09-02,North East,,Stockton-on-Tees
2519,STKR,Stoke-on-Trent A50 Roadside,Urban Traffic,52.980436,-2.111898,NO,Nitric oxide,2015-05-22,ongoing,2023-12-31,West Midlands,The Potteries,Stoke on Trent
2528,STOK,Stoke-on-Trent Centre,Urban Background,53.02821,-2.175133,O3,Ozone,1997-03-11,ongoing,2023-12-31,West Midlands,The Potteries,Stoke on Trent
2543,STOR,Storrington Roadside,Urban Traffic,50.916932,-0.449548,NO,Nitric oxide,2009-08-01,ongoing,2023-12-31,South East,,Horsham
2555,SV,Strathvaich,Rural Background,57.734456,-4.776583,O3,Ozone,1987-03-18,ongoing,2023-12-31,Highland,,Highland
2563,SUND,Sunderland,Urban Background,54.906106,-1.380081,SO2,Sulphur dioxide,1992-10-06,2007-09-30,2007-09-30,North East,,Sunderland
2564,SUN2,Sunderland Silksworth,Urban Background,54.88361,-1.406878,O3,Ozone,2004-12-09,ongoing,2023-12-31,North East,,Sunderland
2576,SUNR,Sunderland Wessington Way,Urban Traffic,54.91839,-1.408391,NO,Nitric oxide,2015-01-15,ongoing,2023-12-31,North East,,Sunderland
2582,SUT1,Sutton Roadside,Urban Traffic,51.36636,-0.182789,NO,Nitric oxide,1996-04-01,2002-05-02,2002-05-02,Greater London,Greater London Urban Area,Sutton
2588,SWAN,Swansea,Urban Background,51.62114,-3.943329,O3,Ozone,1994-12-01,2006-08-07,2006-08-07,South Wales,Swansea Urban Area,Swansea
2595,SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,O3,Ozone,2006-09-20,2007-09-30,2007-09-30,South Wales,Swansea Urban Area,Swansea
2610,SWHO,Swindon Walcot,Urban Background,51.558061,-1.765678,O3,Ozone,2023-03-07,ongoing,2023-12-31,South West,,Swindon
2619,TALL,Tallington,Rural Background,52.656308,-0.381,O3,Ozone,2023-12-11,ongoing,2023-12-31,East Midlands,,South Kesteven
2625,TDHD,Telford Hollinswood,Urban Background,52.673471,-2.436692,O3,Ozone,2023-02-23,ongoing,2023-12-31,West Midlands,,Telford and Wrekin
2634,THUR,Thurrock,Urban Background,51.47707,0.317969,O3,Ozone,1996-09-01,ongoing,2023-12-31,Eastern,,Thurrock
2647,TOFT,Toft Newton,Rural Background,53.374133,-0.449788,O3,Ozone,2023-09-01,ongoing,2023-12-31,East Midlands,,West Lindsey
2656,TH2,Tower Hamlets Roadside,Urban Traffic,51.52253,-0.042155,NO,Nitric oxide,1996-04-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Tower Hamlets
2663,WAL,Walsall Alumwell,Urban Background,52.58167,-2.010483,NO,Nitric oxide,1987-03-05,2007-09-30,2007-09-30,West Midlands,West Midlands Urban Area,Walsall
2666,WAL2,Walsall Willenhall,Urban Background,52.60821,-2.033144,NO,Nitric oxide,1997-04-29,2010-02-03,2010-02-03,West Midlands,West Midlands Urban Area,Walsall
2669,WAL4,Walsall Woodlands,Urban Background,52.605641,-2.030371,O3,Ozone,2012-06-19,ongoing,2023-12-31,West Midlands,West Midlands Urban Area,Walsall
2676,WAR,Warrington,Urban Background,53.389225,-2.615593,NO,Nitric oxide,2008-10-21,ongoing,2023-12-31,North West & Merseyside,,Warrington
2688,WBKP,West Bromwich Kenrick Park,Urban Background,52.508342,-1.98607,O3,Ozone,2023-02-22,ongoing,2023-12-31,West Midlands,West Midlands Urban Area,Sandwell
2695,WL,West London,Urban Background,51.4938,-0.200361,NO,Nitric oxide,1987-01-01,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Kensington and Chelsea
2699,WEYB,Weybourne,Rural Background,52.95049,1.122017,O3,Ozone,2001-05-30,ongoing,2023-12-31,Eastern,,North Norfolk
2705,WC,Wharleycroft,Rural Background,54.616238,-2.468931,O3,Ozone,1985-05-08,1995-11-28,1995-11-28,North West & Merseyside,,Eden
2706,WFEN,Wicken Fen,Rural Background,52.2985,0.290917,O3,Ozone,1997-10-15,ongoing,2023-12-31,Eastern,,East Cambridgeshire
2716,WSMR,Widnes Milton Road,Urban Traffic,53.365391,-2.73168,NO,Nitric oxide,2015-03-09,ongoing,2023-12-31,North West & Merseyside,,Halton
2722,WIG5,Wigan Centre,Urban Background,53.54914,-2.638139,O3,Ozone,2004-10-08,ongoing,2023-12-31,North West & Merseyside,,Wigan
2735,WIG3,Wigan Leigh,Urban Background,53.49422,-2.506899,O3,Ozone,2002-05-15,2004-09-28,2004-09-28,North West & Merseyside,Greater Manchester Urban Area,Wigan
2742,TRAN,Wirral Tranmere,Urban Background,53.37287,-3.022722,O3,Ozone,2000-05-14,ongoing,2023-12-31,North West & Merseyside,Birkenhead Urban Area,Wirral
2757,WOLV,Wolverhampton Centre,Urban Background,52.58818,-2.129008,O3,Ozone,1995-12-19,2007-09-30,2007-09-30,West Midlands,West Midlands Urban Area,Wolverhampton
2766,WTHG,Worthing A27 Roadside,Urban Traffic,50.832947,-0.379916,NO,Nitric oxide,2016-10-01,ongoing,2023-12-31,South East,Brighton/Worthing/Littlehampton,Worthing
2773,WRAY,Wray,Rural Background,54.104666,-2.584182,O3,Ozone,1985-04-01,1988-02-29,1988-02-29,North West & Merseyside,,Lancaster
2774,WREX,Wrexham,Urban Traffic,53.042282,-3.002829,NO,Nitric oxide,2002-03-06,ongoing,2023-12-31,North Wales,,Wrexham
2786,YW,Yarner Wood,Rural Background,50.5976,-3.71651,O3,Ozone,1987-06-26,ongoing,2023-12-31,South West,,Teignbridge
2795,YK10,York Bootham,Urban Background,53.967513,-1.086514,O3,Ozone,2023-05-26,ongoing,2023-12-31,Yorkshire & Humberside,,York
2808,YK11,York Fishergate,Urban Traffic,53.951889,-1.075861,NO,Nitric oxide,2008-01-01,ongoing,2023-12-31,Yorkshire & Humberside,,York
1,ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,NO,Nitric oxide,2005-01-01,ongoing,2023-12-31,North East Scotland,,Aberdeen City
34,AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,NO,Nitric oxide,2008-11-25,ongoing,2023-12-31,North East Scotland,,Aberdeen City
43,ABD2,Aberdeen Market St,Urban Traffic,57.143889,-2.093889,NO,Nitric oxide,2005-01-01,2009-01-19,2008-10-31,North East Scotland,,Aberdeen City
47,ABD0,Aberdeen Market Street 2,Urban Traffic,57.141922,-2.091664,NO,Nitric oxide,2009-06-01,ongoing,2023-12-31,North East Scotland,,Aberdeen City
56,ABD3,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,NO,Nitric oxide,2005-01-01,ongoing,2023-12-31,North East Scotland,,Aberdeen City
78,ALOA,Alloa,Urban Traffic,56.117258,-3.791896,PM10,PM10 particulate matter (Hourly measured),2006-09-20,2015-01-13,2015-01-13,North East Scotland,,Clackmannanshire
84,ALO2,Alloa A907,Urban Traffic,56.117343,-3.791818,NO,Nitric oxide,2015-02-25,ongoing,2023-12-31,North East Scotland,,Clackmannanshire
95,FFAR,Angus Forfar,Urban Traffic,56.644194,-2.883531,PM10,PM10 particulate matter (Hourly measured),2007-07-12,2012-12-31,2012-11-30,North East Scotland,,Angus
101,AFR1,Angus Forfar Glamis Rd,Urban Traffic,56.642076,-2.894328,PM10,PM10 particulate matter (Hourly measured),2015-10-23,ongoing,2023-12-31,North East Scotland,,Angus
165,DUN4,Dundee Broughty Ferry Road,Urban Industrial,56.467332,-2.943423,NO,Nitric oxide,2016-01-01,ongoing,2023-12-31,North East Scotland,,Dundee City
175,DUN6,Dundee Lochee Road,Urban Traffic,56.465126,-2.993867,NO,Nitric oxide,2006-01-01,ongoing,2023-12-31,North East Scotland,,Dundee City
184,DUN1,Dundee Mains Loan,Urban Background,56.475434,-2.959861,NO,Nitric oxide,2011-03-29,ongoing,2023-12-31,North East Scotland,,Dundee City
193,DUNM,Dundee Meadowside,Urban Traffic,56.464258,-2.971386,NO,Nitric oxide,2011-06-15,ongoing,2023-09-27,North East Scotland,,Dundee City
202,DUN5,Dundee Seagate,Urban Traffic,56.462383,-2.96739,NO,Nitric oxide,2006-01-01,ongoing,2023-12-31,North East Scotland,,Dundee City
211,DUN3,Dundee Union Street,Urban Traffic,56.459167,-2.971389,NO,Nitric oxide,2006-01-01,2016-01-06,2016-01-06,North East Scotland,,Dundee City
218,DUN7,Dundee Whitehall Street,Urban Traffic,56.45974,-2.970708,NO,Nitric oxide,2006-01-01,ongoing,2023-12-31,North East Scotland,,Dundee City
227,MARN,E Ayrshire Kilmarnock St Marnock St,Urban Traffic,55.607469,-4.497986,NO,Nitric oxide,2012-02-17,ongoing,2023-12-06,Central Scotland,,East Ayrshire
236,KILM,East Ayrshire Kilmarnock,Urban Background,55.616583,-4.515449,NO,Nitric oxide,2008-01-01,2009-06-03,2009-06-02,Central Scotland,,East Ayrshire
242,FINI,East Ayrshire Kilmarnock John Finnie St,Urban Traffic,55.61095,-4.499021,NO,Nitric oxide,2010-04-01,2015-06-08,2015-06-08,Central Scotland,,East Ayrshire
251,CUMN,East Ayrshire New Cumnock,Urban Background,55.39595,-4.18346,NO,Nitric oxide,2009-01-17,2011-08-01,2011-06-30,Central Scotland,,East Ayrshire
258,EDB2,East Dunbartonshire Bearsden,Urban Traffic,55.919596,-4.333505,NO,Nitric oxide,2005-12-24,ongoing,2023-10-16,Central Scotland,Glasgow Urban Area,East Dunbartonshire
267,EDB1,East Dunbartonshire Bishopbriggs,Urban Traffic,55.904167,-4.225,NO,Nitric oxide,2003-12-04,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,East Dunbartonshire
276,EDB3,East Dunbartonshire Kirkintilloch,Urban Traffic,55.935921,-4.151759,NO,Nitric oxide,2007-08-03,ongoing,2023-12-31,Central Scotland,,East Dunbartonshire
287,EDB4,East Dunbartonshire Milngavie ,Urban Traffic,55.938253,-4.317753,NO,Nitric oxide,2011-08-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,East Dunbartonshire
299,MUSS,East Lothian Musselburgh N High St,Urban Traffic,55.944008,-3.059223,NO,Nitric oxide,2010-02-23,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,East Lothian
307,SHED,East Renfrewshire Sheddens,Urban Traffic,55.786253,-4.274733,PM10,PM10 particulate matter (Hourly measured),2008-05-01,2014-09-03,2014-09-03,Central Scotland,Glasgow Urban Area,East Renfrewshire
320,ED11,Edinburgh Currie,Suburban Background,55.896909,-3.31966,NO,Nitric oxide,2013-01-01,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
329,ED10,Edinburgh Glasgow Road,Urban Traffic,55.939026,-3.392727,RAWPM25,PM2.5 particulate matter (Hourly measured),2020-12-16,2023-11-17,2023-11-17,Central Scotland,,"Edinburgh, City of"
339,ED5,Edinburgh Gorgie Road,Urban Traffic,55.937708,-3.232267,NO,Nitric oxide,2005-01-01,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
345,ED6,Edinburgh Haymarket,Urban Traffic,55.945833,-3.220556,NO,Nitric oxide,2007-01-01,2009-01-22,2009-01-22,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
382,ED7,Edinburgh Queen Street,Urban Traffic,55.953837,-3.205481,NO,Nitric oxide,2007-01-01,2016-07-01,2016-07-01,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
389,ED9,Edinburgh Queensferry Road,Urban Traffic,55.960497,-3.30325,NO,Nitric oxide,2011-01-01,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
400,ED4,Edinburgh Roseburn,Urban Traffic,55.945833,-3.235278,NO,Nitric oxide,2006-05-01,2011-08-15,2011-08-15,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
407,ED8,Edinburgh Salamander St,Urban Traffic,55.974594,-3.161455,NO,Nitric oxide,2009-09-17,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
416,ED1,Edinburgh St John's Road,Urban Traffic,55.9425,-3.281111,NO,Nitric oxide,2007-01-03,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
440,ED012,Edinburgh Tower Street,Urban Traffic,55.976262,-3.163964,PM10,PM10 particulate matter (Hourly measured),2018-10-16,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
453,FAL7,Falkirk Banknock,Urban Traffic,55.988456,-3.969288,PM10,PM10 particulate matter (Hourly measured),2013-01-01,2020-06-04,2020-06-04,Central Scotland,,Falkirk
460,FAL09,Falkirk Bo'ness,Urban Traffic,56.015766,-3.608622,SO2,Sulphur dioxide,2016-04-07,ongoing,2023-12-31,Central Scotland,,Falkirk
464,FAL11,Falkirk Graham's Road,Urban Traffic,56.002188,-3.784352,PM10,PM10 particulate matter (Hourly measured),2011-12-21,2018-10-10,2018-10-10,Central Scotland,,Falkirk
465,FALK,Falkirk Grangemouth MC,Urban Background,56.018951,-3.721013,NO,Nitric oxide,2007-07-01,ongoing,2023-12-31,Central Scotland,,Falkirk
475,FAL8,Falkirk Grangemouth Zetland Park,Urban Traffic,56.010894,-3.718233,SO2,Sulphur dioxide,2015-05-06,ongoing,2023-12-31,Central Scotland,,Falkirk
482,FAL5,Falkirk Haggs,Urban Traffic,55.991087,-3.941685,NO,Nitric oxide,2009-01-01,ongoing,2023-12-31,Central Scotland,,Falkirk
491,FAL3,Falkirk Hope St,Urban Traffic,56.001956,-3.786485,NO,Nitric oxide,2007-07-01,ongoing,2023-12-28,Central Scotland,,Falkirk
501,FAL10,Falkirk Main St Bainsford,Urban Traffic,56.013572,-3.789022,NO,Nitric oxide,2015-06-09,ongoing,2023-12-31,Central Scotland,,Falkirk
